"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"198059","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"985239","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"840914","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"174924","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"180898","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"531539","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"369555","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"174846","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"206887","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]",NA
"366237","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"360717","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"195175","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"296007","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"197992","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"197490","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"196270","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"588471","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"187324","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","caccae"
"193865","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"180446","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"306480","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"193946","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"583656","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"197282","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"355510","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"2037235","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"276364","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"197970","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"213885","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"178640","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"197725","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"186624","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"366716","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"311370","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"192079","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"566213","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium",NA
"181644","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"331881","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"194513","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"531582","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"1092725","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia","dentocariosa"
"591285","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","longum"
"189235","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"186143","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"363625","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
"592925","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"316761","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","eggerthii"
"4448492","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"554303","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"198830","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"199283","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"195512","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"194626","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"275061","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"2996838","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"337246","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta"
"358265","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"179649","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"216290","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"189920","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"183385","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"328544","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"199054","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"330714","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"365372","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
